129,33.88,27.28,21.56,35.12,18.96
130,30.2,27.64,25.2,32.2,20.88
131,22,21.28,18.4,33.92,17.4
132,26.04,24.72,17.04,31.16,23.52
133,23.68,24.32,17.56,33.68,18.64
134,19.48,24.36,17.16,32.88,17.96
135,22.84,19.76,15.8,29.8,21.6
136,24.12,31.56,17.28,38.24,24.88
137,22.16,22.68,18.92,28.24,15.44
138,23.56,22.16,16.2,36,19.28
139,24.4,23.8,14.36,29.6,17.16
140,24.32,23.4,18.96,28.4,15.16
141,23.2,21.88,21.48,31.92,21.2
142,21.2,18.28,16.92,23.28,21.84
143,30.28,20.84,16.08,25.8,19.2
144,21.76,22.52,18.76,20.88,17.92
145,25.92,20.88,17.36,23.24,24.4
146,25.88,18.68,14.96,21.96,24.28
147,32.2,17.76,15.76,25.76,20.48
148,26.76,24.8,13.72,22.48,21.08
149,26.2,19.92,16.48,23.2,20.16
150,27.16,24.68,14.76,26.64,17.64
151,23.08,24.44,12.76,21.64,20.68
152,24.92,18.88,14.8,25.8,21.84
153,23.96,19.4,15.48,28.96,20.84
154,27.24,19.36,16.2,21.92,19.88
155,22.8,22,17.52,29.24,21.04
156,20,21.92,18.48,25.36,20.84
157,21.64,23.44,17.52,17.36,23.32
158,20.6,30.28,19.16,28.88,17.56
159,21.84,28,17.6,23.28,19.96
160,21.92,19.48,14.84,18.48,17.68
161,15.4,24.08,15.76,21.88,15.44
162,19.88,26.32,17.08,25.68,16.24
163,22.96,20.12,18.52,24.6,18.36
164,22.16,19.96,17,22.64,18.76
165,19.88,20.8,17.28,25.56,19.4
166,23.68,19.48,19.44,21.68,21.24
167,19.72,25,17.88,20.84,20.76
168,19,19.52,18.2,23.28,17.04
169,24.04,18.68,21.84,25,16.44
170,16.96,20,17.56,22.08,17.08
171,21.68,21.56,17.56,19.76,16.68
172,18.88,19.08,15.84,23.6,17.2
173,22.08,19.76,15.6,21.36,18
174,17.4,19.28,19.16,22.2,16
175,23.12,20.16,16.16,22.72,18
176,22.04,18.44,18.04,18.8,17.04
177,18.84,19.48,24.68,22.64,23.64
178,20.48,17.92,17.68,23.4,18.6
179,20.24,20.2,17.6,21.2,16.2
180,19.32,19.32,20.48,21.6,19.24
181,24.36,22,18.44,19.92,16.52
182,19.4,19.04,18.68,19.88,20.16
183,18.68,19.88,16.16,23.12,15.28
184,17.56,18.36,17.76,22.12,19.88
185,18.96,18.88,17.48,20.48,25.16
186,18.8,19,15.24,20.24,24.36
187,20.08,21.16,15.16,19.12,20.16
188,20.52,18.64,13.2,18.92,24.28
189,19.64,19.68,15.68,22.68,23.68
190,23.6,20.36,16.44,20.24,17.28
191,21.28,20.84,15.36,19.52,17.48
192,19.88,20.24,18.72,19.6,28.8
193,19.8,21.16,17.4,19.92,16.96
194,20.72,19.24,14.88,21.28,19.8
195,21.4,20.96,16.48,21.56,18.88
196,21.56,20.6,12.64,23.44,21.2
197,23.12,20.04,20.84,21.44,19.96
198,20.56,22.92,19.16,22.48,21.24
199,20.76,22.32,15.92,23.48,18.72
200,25.24,19.96,16.92,22.6,15.36
201,20.64,23.76,15.12,18.84,19.08
202,20.64,20.36,24.36,18.92,19.44
203,20.72,22.72,19.96,22.92,16.36
204,21.64,27.84,18.72,19.48,16.28
205,19.88,20.16,21.8,22.96,17.8
206,22.8,18.4,20.24,18.76,20.32
207,19.84,23.32,17.08,18.56,18.08
208,22.16,21.36,18,21,18.6
209,22.44,17.48,22.96,18.56,20.6
210,19.56,20.36,23.44,24.2,16.28
211,26.04,17.88,20.84,20.32,17
212,25.64,19.72,20.36,16.32,23.08
213,24.8,19.92,15.84,15.44,19.92
214,24,20.6,20.92,18.2,17.52
215,23.76,22.72,20.76,16.64,19.48
216,25.32,19.76,15.88,17.92,18.28
217,25.2,18.96,20.44,17.2,16.64
218,23.72,20.64,16.68,19.6,16.36
219,20.72,17.52,18.04,21.28,18.6
220,18.96,22.08,18.88,24.16,15.52
221,17.2,19.68,22.44,20.08,17.88
222,24,19.44,16.8,17.32,20.76
223,18.8,25.56,13.8,22.44,17.6
224,16.16,16.84,15.36,22.04,16.24
225,20.36,21.04,18.56,23.44,19.08
226,18.64,18.44,16.84,24.48,21.64
227,17,20.96,18.48,21.52,17.16
228,19.6,17.76,20.12,19.12,16.08
229,19.4,15.88,17.96,21.16,19.2
230,20.28,19.04,19.4,20.16,20.8
231,20.28,20.12,17.36,22,19.8
232,19.16,18.76,14.04,22.6,26.8
233,17.88,15.08,14.52,21.64,24.8
234,17.2,15.72,21.32,23.44,20.32
235,18.48,15.92,16.28,23.56,17.92
236,20.4,19.72,14.84,20.16,20.52
237,19.8,19,14.52,20.52,20.08
238,16.56,20.48,16.72,23.16,18.4
239,16.08,19.36,16.72,19.56,16.4
240,18.6,16.72,14.64,29.68,15.36
241,18.8,18.4,16.44,24.56,25.68
242,25.16,21.16,15.2,32.44,19.72
243,15.52,15.92,17.36,27.36,17
244,15.16,17,17.24,25.64,13.92
245,15.96,16.52,17.32,26.12,15
246,17.84,17.88,16.36,23.48,15.2
247,18.08,14.12,17.24,24.64,15
248,18,14.8,14.44,28.44,15.64
249,16.56,14.8,15,21.52,17.64
250,18.32,15.88,13.64,22.56,15.32
251,21.4,17.72,18.12,23.56,16.24
252,17.8,17.72,21.92,25.52,16.28
253,15.6,15.32,17.6,15.68,18.28
254,18.32,16.52,17.72,17.36,23.88
255,16.12,16.68,18.72,17.4,23.6
256,16.32,19.4,18.16,16.44,20.64
257,22.36,17.36,19.72,16.32,21.24
258,19.28,18.16,20,17.44,17.88
259,18.24,17.28,16.36,18.76,16.84
260,20.28,18.28,17.24,19.16,16.12
261,21.08,17.64,16.24,25,15.96
262,21.12,16.12,18.72,22.8,15.6
263,20.52,23.4,19.32,23.68,16.36
264,15.84,16.28,18.96,23.52,16.72
265,16.84,18.48,19.88,18.84,16.32
266,20.24,21.36,16.56,22,14.68
267,18.56,24.2,18.36,26.44,19.92
268,19,21,18.48,23.88,15.24
269,20.8,20.96,18,25.92,14.96
270,23.2,22.44,16.64,26.32,14.88
271,19.32,18.36,18,29.12,15.92
272,16.28,20.56,20.8,26.2,17.32
273,22.32,23.32,17.72,16.68,16.92
274,21.2,18.8,19.92,19.44,17.92
275,17.52,24.04,15.64,20.72,14.68
276,16.48,24.96,16.44,19.64,14.16
277,17.92,28.48,21.12,19.2,17
278,16.44,26.16,20.76,18.36,16.28
279,16.6,23.32,18.52,19.2,14.92
280,16.56,22.72,17.28,22.4,16.24
281,17.12,22.48,16.8,19.12,13.96
282,17.92,25.68,21.16,18.04,17.4
283,21.56,25.6,18,16.12,16.52
284,21.08,19.52,18.64,19.04,18.8
285,20.68,23.84,22,19.88,17.68
286,19.76,24.32,20.6,17.04,16.68
287,15.52,19.24,15.96,17.32,17.44
288,21.8,23.4,17.2,18.64,14.72
289,21.12,16.96,17.08,19.48,16.6
290,17.4,22.88,17.88,16.52,13.12
291,20.48,19.6,17.32,15.84,14.68
292,21.04,15.8,18.8,18.24,14.76
293,20.64,22.52,17.8,17.12,15.04
294,23.68,24.24,18.32,17.68,13.64
295,21.8,23.96,17.88,15.48,18.2
296,21.56,19.44,17.84,18.68,16.64
297,21.52,19.56,14.6,18.88,19.56
298,19.76,19.68,17.48,22.48,17.24
299,17.4,23.8,15.68,19.24,19.76
300,19.92,19,17.96,22.36,21.24
301,19.28,18.6,17.88,22.04,17.32
302,17.76,19.84,16.68,17.64,18.8
303,17.76,15.8,16.08,22.64,20.32
304,18.16,17.8,16.08,23.88,16.36
